,index,Name,Preparation time,Cooking time,Serves,Ingredients,Meal,Method,Dietary,id_list,amounts,links
24,25,Hairy Bikers' sausage casserole,less than 30 mins,30 mins to 1 hour,6,"{""sunflower oil"": ""1\u20132 tbsp"", ""pork sausages"": ""12 good-quality"", ""bacon"": ""6 rashers rindless streaky , cut into 2.5cm/1in lengths"", ""onions"": ""2 , thinly sliced"", ""garlic"": ""2  cloves, crushed"", ""chilli powder"": ""\u00bd\u20131 tsp hot  or smoked paprika"", ""chopped tomatoes"": ""400g tin"", ""chicken stock"": ""300ml/10fl oz"", ""tomato pur\u00e9e"": ""2 tbsp"", ""Worcestershire sauce"": ""1 tbsp"", ""muscovado sugar"": ""1 tbsp dark"", ""dried mixed herbs"": ""1 tsp"", ""bay leaves"": ""2"", ""thyme"": ""3\u20134 fresh  sprigs"", ""100ml/3\u00bdfl oz red or white wine (optional)"": ""None"", ""butter beans"": ""400g tin  or mixed beans, drained and rinsed"", ""black pepper"": ""salt and freshly ground"", ""rice or rustic bread slices, to serve"": ""None""}",dinner,"Heat 1 tablespoon of the oil in a large non-stick frying pan and fry the sausages gently for 10 minutes, turning every now and then until nicely browned all over. Transfer to a large saucepan or a flameproof casserole dish and set aside. ;Fry the bacon in the frying pan until starting to brown and crisp and then add to the dish with the sausages. ;Add the onions to the frying pan and fry over a medium heat for 5 minutes until they start to soften, stirring often. You should have enough fat in the pan, but if not, add a little more oil. Add the garlic and cook for 2–3 minutes until the onions turn pale golden brown, stirring frequently. Sprinkle over the chilli powder and cook together for a few seconds longer. Stir in the tomatoes, stock, tomato purée, Worcestershire sauce, brown sugar and herbs. Pour in the wine, or some water if you’re not using wine, and bring to a simmer. ;Tip the tomato mixture carefully into the pan with the sausages and bacon and return to a simmer. Reduce the heat, cover the pan loosely with a lid and leave to simmer very gently for 20 minutes, stirring from time to time. Stir the beans into the casserole, and continue to cook for 10 minutes, stirring occasionally, until the sauce is thick. ;Season to taste with salt and freshly ground black pepper and serve with rice or slices of rustic bread.;",,"['24', 61, '191', '218', '248', '160', '174', '283', '138', '20', 29, '189', '71', '229', 169, '203', '89', 142]","[30, 12, 6, 2, 2, 5, 400, 300, 30, 15, 15, 5, 4, 400, -1]",https://www.bbc.co.uk/food/recipes/great_sausage_casserole_73010
25,26,Beef hotpot,less than 30 mins,1 to 2 hours,4,"{""braising steak"": ""1kg/2lb 2oz , trimmed, cut into 5cm/2in chunks"", ""black pepper"": ""salt and freshly ground"", ""vegetable oil"": ""1 tbsp"", ""butter"": ""75g/3oz"", ""onions"": ""150g/5oz baby , or pickling , peeled"", ""carrots"": ""4 , peeled, cut into chunks"", ""plain flour"": ""1 tbsp"", ""red wine"": ""200ml/7floz"", ""beef stock"": ""400ml/14fl oz fresh"", ""thyme"": ""2 fresh  sprigs"", ""potatoes"": ""1kg/2lb 2oz , cut into 5mm/\u00bcin slices""}",dinner,"Preheat the oven to 170C/325F/Gas 3.;Season the beef with salt and freshly ground black pepper. Heat a large casserole dish until very hot then add the oil and a small knob of butter. Fry the beef until browned all over, then remove from the pan and set aside. (You may need to do this in batches.);Add the onions and another knob of butter to the pan and fry for 2-3 minutes, or until lightly browned. Add the carrots and cook for a further minute.;Stir in the flour and cook for 2 minutes. Then gradually add the red wine, stirring until smooth.  Add the browned beef back to the pan with the stock, season with salt and freshly ground black pepper and bring to the boil. Stir in the fresh thyme, then arrange the potatoes on top. Dot the surface with the remaining butter.;Cover with a lid and cook in the oven for one hour or until the potatoes are crisp and golden brown on top.;Remove the lid and increase the heat to 200C/400F/Gas 6 for 30 minutes. Serve the hotpot with buttered boiled greens and the remaining red wine.;",,"['251', '89', '193', '153', '218', '195', '144', '230', '78', '229', '282']","[1000, -1, 15, 75, 150, 4, 15, 200, 400, 2, 1000]",https://www.bbc.co.uk/food/recipes/beef_hotpot_59730
26,27,Slow cooker honey roast ham  ,less than 30 mins,over 2 hours,10,"{""gammon"": ""1.6kg/3lb 8oz boneless, rolled smoked or unsmoked"", ""onion"": ""1 , peeled and quartered"", ""English mustard"": ""1 tbsp"", ""honey"": ""1 tbsp clear"", ""demerara sugar"": ""2 tbsp""}",dinner,"Put the gammon, onion and 100ml/3½fl oz water in the slow cooker, cover with the lid and cook on low for 6–8 hours, or until the pork is thoroughly cooked. The longer the gammon is cooked, the more like pulled ham it will become.;Remove the lid, lift the pork out of the slow cooker and onto a board, and leave it to stand for 10 minutes, or until cool enough to handle. ;Preheat the oven to 220C/200C Fan/Gas 7. Very carefully, snip off the string and slide a knife, in a horizontal sawing motion, between the ham rind and fat, then lift off the rind, leaving a thin layer of fat on the meat. (You may need to do this in strips.);Lightly score the ham fat with a knife in a crisscross pattern. Line a small roasting tin with a piece of foil, large enough to come up the sides of the tin. Place the ham on top, fat-side up. If the ham is thinner one end than the other, prop the short end up with a wodge of crumpled kitchen foil, so the fat is more horizontal – this will help it brown more evenly. ;Mix the mustard, honey and sugar in a small bowl and spread it all over the ham fat. Bring the foil in towards the ham to create a bowl to catch any sticky juices. Bake the ham for 12–15 minutes, or until the fat is nicely browned. ;Serve in slices, warm or cold.;",,"['250', '218', '128', '116', '63']","[1600, 1, 15, 15, 30]",https://www.bbc.co.uk/food/recipes/slow-cooker_roast_ham_25878
27,28,Easy cottage pie,less than 30 mins,1 to 2 hours,6,"{""olive oil"": ""50ml/2fl oz"", ""shallots"": ""1 large onion or 3\u20134 banana , finely chopped"", ""beef mince"": ""650g/1lb 7oz"", ""tomato pur\u00e9e"": ""2 tbsp"", ""plain flour"": ""1 tbsp"", ""red wine"": ""150ml/5fl oz"", ""thyme"": ""4 sprigs fresh , leaves only"", ""beef stock"": ""400ml/14fl oz"", ""Worcestershire sauce"": "", to taste"", ""black pepper"": ""salt and freshly ground"", ""King Edward"": ""900g/2lb  potatoes, peeled and chopped"", ""butter"": ""50g/1\u00beoz"", ""125ml/4\u00bdfl oz milk"": ""None"", ""peas"": ""150g/5\u00bdoz frozen""}",dinner,"Heat half of the oil in a large heavy-based pan. Add the onion and cook until softened. Tip it onto a plate. ;Return the pan to the heat and add the remaining oil. When it's hot, fry the mince, in batches if needed, for 4–5 minutes, or until browned all over. Stir in the cooked onion and tomato purée and cook for 1 minute. Stir in the flour and cook for a further minute. Pour in the red wine, scraping up any caramelised bits with a wooden spoon, and add the thyme. ;Add the stock and simmer for 45 minutes, or until the mince is tender and the mixture has thickened. Season to taste, and add a few dashes of Worcestershire sauce. Keep warm over a very low heat. Preheat the grill to high.;Meanwhile, for the mash, put the potatoes in a pan of salted water and bring to the boil. Reduce the heat and simmer for 12–15 minutes, or until they are tender. Drain and return the potatoes to the pan, then place over the heat for about 1 minute to drive off any excess moisture. Mash well, then add the butter and milk, beating to form a smooth mash. Season to taste.;Put the cottage pie filling in a baking dish and spoon the mash over the top. Grill for 8–10 minutes, or until golden-brown. ;Meanwhile, boil the peas in boiling water in a small saucepan for 3–4 minutes, then drain and add the butter. Serve the cottage pie with the peas. ;",,"['114', 46, '287', '138', '144', '230', '229', '78', '20', '89', -1, '153', 168, '274']","[50, 1, 650, 30, 15, 150, 4, 400, 15, -1, 50, 150]",https://www.bbc.co.uk/food/recipes/classiccottagepie_90765
28,29,Fish and chips,less than 30 mins,10 to 30 mins,4,"{""vegetable oil"": ""beef dripping or oil, for deep frying (beef dripping is used in the traditional method and gives a far better flavour, but sunflower or  will work just as well)"", ""haddock"": ""4x175g/6oz thick cod or  fillets, taken from the head end rather than the tail end of the fish"", ""self-raising flour"": ""225g/8oz , plus extra for dusting"", ""black pepper"": ""salt and freshly ground"", ""lager"": ""300ml/10fl oz fridge-cold"", ""king edward"": ""6-8 large floury potatoes, such as maris piper, , desiree (depending on how hungry you are)""}",dinner,"Preheat the oven to 150C/300F/Gas 2 and preheat the dripping or oil to 120C/250F.;For the chips, peel the potatoes and cut into whatever size you prefer. Wash well in cold water, drain and pat dry with a clean tea towel. Put the potatoes into the fryer and allow them to fry gently for about 8-10 minutes, until they are soft but still pale. Check they're cooked by piercing with a small, sharp knife. Lift out of the pan and leave to cool slightly on greaseproof paper.;Increase the heat of the fryer to 180C/350F.;Season the fish and dust lightly with flour; this enables the batter to stick to the fish.;To make the batter, sift the flour and a pinch of salt into a large bowl and whisk in the lager to give a thick batter, adding a little extra beer if it seems over-thick. It should be the consistency of very thick double cream and should coat the back of a wooden spoon. Season with salt and thickly coat 2 of the fillets with the batter. Carefully place in the hot fat and cook for 8-10 minutes until golden and crispy. Remove from the pan, drain and sit on a baking sheet lined with greaseproof paper, then keep warm in the oven while you cook the remaining 2 fillets in the same way.;Once the fish is cooked, return the chips to the fryer and cook for 2-3 minutes or until golden and crispy. Shake off any excess fat and season with salt before serving with the crispy fish. If liked, you can serve with tinned mushy peas and bread and butter, for the authentic experience!;",,"['193', '202', '295', '89', '42', -1]","[-1, 175, 225, -1, 300]",https://www.bbc.co.uk/food/recipes/deepfriedfishinbeerb_67776
29,30,Macaroni cheese,less than 30 mins,10 to 30 mins,4,"{""macaroni"": ""250g/9oz"", ""butter"": ""40g/1\u00bdoz"", ""plain flour"": ""40g/1\u00bd"", ""milk"": ""600ml/1 pint 1\u00bdfl oz"", ""cheddar"": ""250g/9oz , grated"", ""Parmesan"": ""50g/2oz  (or a similar vegetarian alternative), finely grated""}",dinner,"Cook the macaroni in a large saucepan of boiling salted water for 8–10 minutes. Drain well and set aside.;Melt the butter over a medium heat in a saucepan slightly larger than that used for the macaroni. Add the flour and stir to form a roux, cooking for a few minutes.;Gradually whisk in the milk, a little at a time. Cook for 10–15 minutes to a thickened and smooth sauce.;Meanwhile, preheat the grill to hot.;Remove the sauce from the hob, add 175g/6oz of the cheese and stir until it is well combined and melted.;Add the macaroni to the sauce and mix well. Transfer to a deep suitably-sized ovenproof dish.;Sprinkle over the remaining Cheddar and the Parmesan and place the dish under the hot grill. Cook until the cheese is browned and bubbling. Serve straightaway.;",Vegetarian,"['68', '153', '144', '168', '76', 121]","[250, 40, 40, 600, 250, 50]",https://www.bbc.co.uk/food/recipes/macaronicheese_83521
30,31,Beef casserole,less than 30 mins,over 2 hours,4,"{""braising steak"": ""700g/1lb 9oz , trimmed of excess fat and cut into 3-cm/1\u00bc-in chunks"", ""sunflower oil"": ""2 tbsp olive or"", ""onions"": ""2 , thinly sliced"", ""plain flour"": ""2 tbsp"", ""dried mixed herbs"": ""2 tsp"", ""red wine"": ""150ml/5fl oz"", ""beef stock"": ""450ml/16fl oz , made with 1 stock cube"", ""tomato pur\u00e9e"": ""2 tbsp"", ""bay leaf"": ""1"", ""carrots"": ""3  (about 300g/10\u00bdoz), peeled and thickly sliced"", ""mushrooms"": ""300g/10\u00bdoz closed cup , sliced"", ""black pepper"": ""sea salt and freshly ground"", ""parsley"": ""handful fresh flatleaf , roughly chopped, to garnish"", ""King Edward"": ""575g/1lb 4\u00bdoz floury potatoes, preferably Maris Piper or , peeled and cut into roughly 5-cm/2-in chunks"", ""25g/1oz butter"": ""None"", ""milk"": ""4 tbsp semi-skimmed"", ""kale"": ""100g/3\u00bdoz , trimmed, hard stalks removed, roughly chopped""}",dinner,"Preheat the oven to 180C/160C Fan/Gas 4. Season the beef well with salt and pepper. ;Heat half of the oil in a large, non-stick frying pan and fry the beef in two batches for 2–3 minutes, or until browned on all sides. Transfer to a casserole dish using a slotted spoon or spatula once each batch is done. ;Add the remaining oil and the onions to the pan and fry over a medium–high heat for 4–5 minutes, or until lightly browned. Place the onions into the casserole dish and sprinkle with the flour and dried herbs. Toss well together.;Pour the red wine and stock into the casserole dish and add the tomato purée and bay leaf. Stir well and bring to a simmer on the hob. Cover with a lid and bake in the oven for 1½ hours. ;Carefully remove the casserole from the oven and stir in the carrots and mushrooms. Cover and bake for a further 45 minutes, or until the beef and vegetables are just tender. ;Meanwhile, to make the kale mashed potato, place the potatoes into a large saucepan and cover with cold water. Bring to the boil and cook for about 15 minutes, or until very tender. Drain well then return to the saucepan. Mash with the butter and milk until smooth. Season with salt and pepper.;Place the kale into a saucepan and add 500ml/18fl oz water. Cover with a lid and bring to the boil for 5 minutes, or until tender, removing the lid and stirring the kale three or four times as it cooks. Drain well then stir into the mash.;Serve the kale mash alongside the casserole, garnished with the parsley.;",,"['251', '24', '218', '144', '189', '230', '78', '138', '71', '195', '37', '89', '289', '-1', 153, '168', '104']","[700, 30, 2, 30, 10, 150, 450, 30, 300, 300, -1, 15, 60, 100]",https://www.bbc.co.uk/food/recipes/rich_beef_and_mushroom_62012
31,32,"Hairy Bikers' creamy chicken, ham and leek pie",less than 30 mins,30 mins to 1 hour,4,"{""chicken stock"": ""450ml/16fl oz"", ""chicken breasts"": ""3 , skin removed"", ""butter"": ""200g/7oz"", ""leeks"": ""2 , trimmed and cut into 1cm/\u00bdin slices"", ""garlic"": ""2  cloves, crushed"", ""plain flour"": ""350g/12oz , plus extra for dusting"", ""milk"": ""200ml/7fl oz"", ""white wine"": ""2\u20133 tbsp  (optional)"", ""double cream"": ""150ml/5fl oz"", ""ham"": ""150g/5\u00bdoz piece thickly carved , cut into 2cm/\u00bein chunks"", ""black pepper"": ""sea salt flakes and freshly ground"", ""egg"": ""1 free-range , beaten with 1 tbsp cold water, plus 1 free-range , beaten, to glaze""}",dinner,"Heat the chicken stock in a lidded saucepan. Add the chicken breast and bring to a low simmer. Cover with a lid and cook for 10 minutes. Remove the chicken breasts from the water with tongs and place on a plate. Pour the cooking liquor into a large jug. ;Melt 25g/1oz of the butter in a large, heavy-based saucepan over a low heat. Stir in the leeks and fry gently for 2 minutes, stirring occasionally until just softened. Add the garlic and cook for a further minute. Add the remaining butter and stir in the flour as soon as the butter has melted. Cook for 30 seconds, stirring constantly. ;Slowly pour the milk into the pan, just a little at a time, stirring well between each adding. Gradually add 250ml/10fl oz of the reserved stock and the wine, if using, stirring until the sauce is smooth and thickened slightly. Bring to a gentle simmer and cook for 3 minutes. ;Season with salt and pepper. Remove from the heat and stir in the cream. Pour into a large bowl and cover the surface of the sauce with cling film to prevent a skin forming. Set aside to cool.;Preheat the oven to 200C/180C Fan/Gas 6. Put a baking tray in the oven to heat. ;For the pastry, put the flour and butter in a food processor and blend on the pulse setting until the mixture resembles fine breadcrumbs. With the motor running, add the beaten egg and water and blend until the mixture forms a ball. Portion off 250g/9oz pastry for the lid. ;Roll the remaining pastry out on a lightly floured surface, turning the pastry frequently until around 5mm/¼in thick and 4cm/1½in larger than the pie dish.  Lift the pastry over the rolling pin and place it gently into the pie dish. Press the pastry firmly up the sides, making sure there are no air bubbles. Leave the excess pastry overhanging the sides.;Cut the chicken breasts into 3cm/1¼in pieces. Stir the chicken and ham into the cooled sauce. Pour the chicken filling into the pie dish. Brush the rim of the dish with beaten egg. Roll out the reserved pastry for the lid.;Cover the pie with the pastry lid and press the edges together firmly to seal. Trim any excess pastry.  ;Make a small hole in the centre of the pie with the tip of a knife. Glaze the top of the pie with beaten egg. Bake on the preheated tray in the centre of the oven for 35–40 minutes, or until the pie is golden brown all over and the filling is piping hot.  ;",,"['283', '200', '153', '135', '248', '144', '168', '169', '298', '237', '89', '110']","[450, 3, 200, 2, 2, 350, 200, 45, 150, 150, -1, 1]",https://www.bbc.co.uk/food/recipes/creamy_chicken_ham_and_03877
32,33,Braised feather blade beef,less than 30 mins,over 2 hours,4,"{""steak"": ""1kg/2lb 2oz feather blade , trimmed and cut into 250g/10oz pieces"", ""oil"": ""3 tbsp"", ""shallots"": ""3 bannana  or 1 medium onion, sliced"", ""celery"": ""2  sticks, trimmed, sliced"", ""carrots"": ""2 , thickly sliced"", ""cloves"": ""2 garlic , crushed"", ""red wine"": ""250ml/10fl oz"", ""beef stock"": ""500ml/17fl oz"", ""tomato pur\u00e9e"": ""2 tbsp"", ""thyme"": ""4-5 sprigs fresh"", ""bay leaf"": ""1"", ""English mustard"": ""1 tsp"", ""black pepper"": ""sea salt and freshly ground""}",dinner,"Preheat the oven to 160C/320F/Gas 3.  ;Season the beef on both sides with salt and lots of freshly ground black pepper. Heat one tablespoon of the oil in a large heavy-based frying pan. Fry the steak pieces over a medium-high heat for 2-3 minutes on each sides, or until browned. Transfer the beef pieces to a casserole dish. (You may need to do this in batches.);Return the frying pan to the hob and reduce the heat. Add the remaining oil and gently fry the shallots, celery and carrots for 6-8 minutes or until golden-brown and softened. Stir in the garlic, cook for a further minute and add the mixture to the casserole.;Deglaze the pan with wine and allow to bubble for a few seconds, stirring constantly and pour over the meat and vegetables. Stir the stock and the tomato purée. Strip the thyme leaves from the stalks and scatter into the pan, add the bay leaf and mustard and stir until well combined. Bring to the boil and remove the dish from the heat.;Cover the surface of meat and liquid carefully with a piece of greaseproof paper. Place a lid on top and cook in the oven for 3-3½ hours or until the beef is very tender. Skim any fat away from the surface that appears during cooking.;Transfer the meat to a plate. Strain the cooking liquor and vegetables through a sieve into a large non-stick frying pan. Press the vegetables with the bottom of a ladle to extract a rich purée and stir into the cooking liquor. Add salt and freshly ground black pepper, to taste.;Bring the mixture to a simmer for 3-5 minutes, or until the sauce is well reduced, thick and glossy. Add the beef to the liquid and heat through for 3-4 minutes, spooning over the sauce to glaze. Serve with some green vegetables and mashed potatoes.;",,"['251', '297', '46', '269', '195', '199', '230', '78', '138', '229', '71', '128', '89']","[250, 45, 1, 2, 2, 2, 250, 500, 30, 5, 5, -1]",https://www.bbc.co.uk/food/recipes/braised_feather_blade_49306
33,34,How to make cauliflower cheese,less than 30 mins,30 mins to 1 hour,6,"{""cauliflower"": ""1 medium  (around 700g/1lb 9oz), cut into florets, stem sliced and green outer leaves thickly shredded"", ""butter"": ""50g/1\u00beoz"", ""plain flour"": ""50g/1\u00beoz"", ""milk"": ""500ml/18fl oz"", ""Cheddar"": ""120g/4\u00bdoz mature  cheese, coarsely grated"", ""Dijon mustard"": ""1 tsp English or"", ""black pepper"": ""flaked sea salt and ground""}",dinner,"Preheat the oven to 200C/180C Fan/Gas 6.;Half fill a large saucepan with water and bring to the boil. Add the florets, leaves and sliced stem for  4–5 minutes or until the florets are just tender when tested with the tip of knife. Drain in a colander and tip into a shallow baking dish.;Put the butter, flour and milk in a medium saucepan. Whisk together with over a medium heat for 3–4 minutes, or until smooth and thick. Add roughly half of the grated cheese and the mustard. Cook for 1 minute, stirring constantly until the cheese melts. Add a splash more milk if the sauce thickens too much. Season with salt and pepper. Pour over the cooked cauliflower and sprinkle with the remaining cheese.;Place on a baking tray and bake for 20 minutes, or until lightly browned and bubbling. Serve.;",Vegetarian,"['165', '153', '144', '168', 76, '128', '89']","[700, 50, 50, 500, 120, 5, -1]",https://www.bbc.co.uk/food/recipes/cauliflower_cheese_92618
34,35,Easy chicken and leek pie,less than 30 mins,30 mins to 1 hour,4,"{""olive oil"": ""dash"", ""chicken breasts"": ""3 , roughly chopped"", ""leek"": ""1 , washed and sliced into rounds"", ""garlic"": ""3  cloves, finely chopped or crushed"", ""cr\u00e8me fra\u00eeche"": ""250g/9oz cream cheese or"", ""wholegrain mustard"": ""1\u20132 heaped tsp"", ""vegetable stock"": ""1  cube"", ""puff pastry"": ""1 sheet ready-rolled  (320g/11\u00bd oz)"", ""milk"": "", to brush the top"", ""black pepper"": ""salt and freshly ground""}",dinner,"Preheat the oven to 190C/170C Fan/Gas 5.;Heat a dash of olive oil in a large frying pan and cook the chicken pieces over a high heat for 3 minutes. Add the leek, garlic, soft cheese, mustard, stock cube and 200ml/7fl oz boiling water. Pour the mixture into a large ovenproof dish and lay the puff pastry sheet over the top. Brush with milk.;Bake for 35 minutes or until the top is golden-brown and the pie is cooked through. Serve.;",,"['114', '200', '135', '248', '102', '128', '221', '54', '168', '89']","[5, 3, 1, 3, 250, 10, 1, 320, -1, -1]",https://www.bbc.co.uk/food/recipes/chickenandleekpie_90191
35,36,Beef Wellington,1-2 hours,1 to 2 hours,4,"{""fillet of beef"": ""1.3kg/2lb 14oz middle-cut"", ""oil"": ""1 tbsp"", ""puff pastry"": ""1\u00bd x 375g packets all-butter"", ""plain flour"": ""1 tbsp"", ""egg"": ""1 , beaten with a dash of milk"", ""black pepper"": ""salt and freshly ground"", ""butter"": ""small knob of"", ""mushrooms"": ""100g/3\u00bdoz button , finely sliced"", ""Parmesan"": ""50g/1\u00beoz , finely grated"", ""tarragon"": ""1 tbsp freshly chopped"", ""Dijon mustard"": ""1 tbsp"", ""egg yolk"": ""1"", ""cr\u00e8me fra\u00eeche"": ""400ml/14fl oz full-fat"", ""sugar"": ""a pinch""}",dinner,"Preheat the oven to 220C/200C Fan/Gas 7.;Season the beef with salt and pepper. Place a large frying pan over a high heat, add the oil and fry the beef on all sides until browned. Transfer to a baking tray and roast in the oven for 15–18 minutes. Turn the oven off and remove the beef. Leave to cool, reserving any cooking juices, and then chill in the fridge for at least 1 hour (see tip).;Next make the topping. Melt the butter in the same pan and fry the mushrooms over a high heat for 5–10 minutes – you may need to do this in batches. Tip the mushrooms into a sieve set over a bowl to collect the juices and reserve these for the sauce. Transfer the mushrooms to another bowl and allow to cool before mixing with the Parmesan, tarragon, mustard and egg yolk. Season with salt and pepper and chill in the fridge for 30 minutes.;Line a baking sheet with baking paper. Sit the single 375g packet of pastry on a floured work surface and roll out to a square about 40cm/16in in size, then transfer it to the baking sheet. Place the cooked beef to one side of the pastry and spoon the mushroom mixture on top. Fold over the ends of the pastry and then fold the longest edge over the beef, sealing along the side with a little of the egg wash. Chill in the fridge for 30 minutes. While it is chilling, preheat the oven again to 220C/200C Fan/Gas 7.;Brush the top of the chilled beef Wellington with egg wash. Roll out the remaining half block of pastry and cut into 8 thin strips: lay 4 strips diagonally, and evenly spaced, across the top of the beef Wellington, and 4 strips across these to create a lattice pattern. Brush the lattice with egg wash and then roast in the oven for 30–35 minutes or until the pastry is golden-brown and crisp.;Meanwhile, make the tarragon sauce. Melt the butter in the same frying pan and fry the mushrooms over a high heat for 5–10 minutes or until the juices evaporate. Sprinkle in the flour and add the crème fraîche with the reserved mushroom juices (from the topping), the mustard and tarragon. Season with salt, pepper and sugar and bring to the boil, stirring. Simmer for 3 minutes until reduced slightly and add any beef juices from the original baking tray. Keep hot.;Allow the beef Wellington to rest, covered with foil, for 15 minutes before carving. Slice into thick slices and serve with the hot tarragon sauce.;",,"[7, '297', '54', '144', '110', '89', '153', '37', '121', '133', '128', '244', '102', '29']","[1300, 15, 375, 15, 1, -1, 50, 100, 50, 15, 15, 400, 15]",https://www.bbc.co.uk/food/recipes/beef_wellington_with_35577
36,37,"Gammon, egg and oven chips",less than 30 mins,10 to 30 mins,1,"{""oil"": ""4 tbsp vegetable"", ""potato"": ""1 , peeled and cut into chips"", ""tomato"": ""1 large , cut in half"", ""gammon"": ""150g/5\u00bdoz  steak"", ""eggs"": ""2 free-range"", ""black pepper"": ""freshly ground""}",dinner,"Preheat the oven to 200C/180C Fan/Gas 6.;Lay the chips on a baking tray and drizzle with 2 tablespoons of the oil. Sit the tomato halves on the side of the baking tray. Bake for 30–40 minutes, or until the chips are golden-brown and crisp and the tomato has softened.;Heat 1 tablespoon of the oil in a frying pan. Season the gammon with black pepper and fry on both sides for 5–6 minutes, or until completely cooked through. Set aside to rest in a warm place.;Heat the remaining oil in a frying pan and fry the eggs until the yolk is just set.;Transfer the gammon, eggs and tomato to a serving plate and top with the eggs.;",,"['297', '216', '105', '250', '110', '89']","[60, 1, 1, 150, 2, -1]",https://www.bbc.co.uk/food/recipes/grilledgammonwithdou_87779
37,38,Beef and ale stew with dumplings,less than 30 mins,over 2 hours,4,"{""cloves"": ""2"", ""cinnamon"": ""\u00bc  stick"", ""star anise"": ""2"", ""plain flour"": "", for dusting"", ""1 tbsp salt"": ""None"", ""braising steak"": ""1kg/2lb 4oz , cut into large pieces"", ""vegetable oil"": ""3-4 tbsp"", ""carrots"": ""4 , chopped"", ""onions"": ""2 , cut into quarters"", ""celery"": ""4  stalks, trimmed, cut in half"", ""Bramley apples"": ""3 large , cored and diced"", ""ale"": ""500ml/18fl oz"", ""chicken stock"": ""1.5 litres/2\u00bd pints"", ""rosemary"": ""1 bunch , tied together with cook's string"", ""bay leaves"": ""5"", ""breadcrumbs"": ""115g/4oz fresh white"", ""suet"": ""115g/4oz beef"", ""self-raising flour"": ""115g/4oz"", ""salt"": ""pinch"", ""parsley"": ""2 tbsp chopped fresh flatleaf  leaves"", ""egg"": ""1 free-range , beaten"", ""milk"": ""2 tbsp"", ""rapeseed oil"": ""or melted butter, for glazing""}",dinner,"Preheat the oven to 140C/275F/Gas 1. ;For the stew, wrap the cloves, cinnamon and star anise in a clean piece of muslin and secure well. Set aside.;Sprinkle the flour onto a plate and mix in the salt. Dredge the beef in the seasoned flour, shaking off any excess.;Heat the oil in a large, heavy-based, lidded, flameproof casserole over a medium heat. Add the beef in batches, frying for a few seconds on all sides, or until browned all over. Remove from the casserole using a slotted spoon and set aside in a bowl. Repeat the process with the remaining beef. ;Add the carrots and fry, stirring regularly, for 6-8 minutes, or until sticky and deep golden-brown. Remove from the casserole using a slotted spoon and set aside with the beef.;Add the onions and fry, stirring regularly, for 6-8 minutes, or until well coloured. Remove from the casserole using a slotted spoon and set aside with the beef and carrots. Add the celery and fry, stirring regularly, for 6-8 minutes, or until well coloured. ;Return the beef and cooked vegetables to the casserole and stir well. Add the muslin bag and the apples and stir again. Pour in the ale, stir well, then bring the mixture to the boil. ;Pour in the stock, add the rosemary and bay leaves and return the mixture to the boil. Stir well, then cover the casserole with the lid and reduce the heat until the mixture is just simmering. Season, to taste, with salt.;Transfer the casserole to the oven and cook for 2½-3½ hours, or until the beef is tender and falling-apart.;For the dumplings, mix together the breadcrumbs, suet, self-raising flour, salt and parsley in a large bowl until well combined. In a jug, whisk together the egg and milk until well combined.;Make a well in the centre of the dry ingredients, then gradually pour the wet ingredients into it. Stir the dry mixture into the wet mixture a little at a time, until the mixture comes together as a dough. Roll the dough into eight equally-sized dumplings, then set aside.;When the stew has been cooking for 2½-3 hours and the meat is tender, remove the casserole from the oven and remove the lid. Dot the dumplings onto the surface of the stew, leaving space between each. ;Put the lid on the casserole and return it to the oven for a further 20 minutes, or until the dumplings have expanded.;Remove the casserole from the oven. Remove the lid from the casserole and brush the tops of the dumplings with a little oil or melted butter. ;Increase the oven temperature to 200C/400F/Gas 6. ;Return the casserole to the oven. Continue to cook for a further 10-15 minutes, or until the dumplings are crisp and golden-brown on top and cooked through. ;Set the casserole aside for 10-20 minutes before serving. To serve, place the casserole on the table and let people help themselves.;",,"['199', '25', '201', '144', 213, '251', '193', '195', '218', '269', 291, '263', '283', '270', '71', '84', '151', '295', '213', '289', '110', '168', '123']","[1, 5, 1000, 60, 4, 2, 4, 3, 500, 1500, 1, 115, 115, 115, 5, 30, 1, 30, -1]",https://www.bbc.co.uk/food/recipes/beef_and_ale_stew_with_39262
